plus,plus
.,.
minus,minus
or,or
comma,comma
lsqbr,lsqbr
intlit,intlit
rsqbr,rsqbr
equal,equal
ε,ε
id,id
floatlit,floatlit
lpar,lpar
rpar,rpar
not,not
colon,colon
lcurbr,lcurbr
rcurbr,rcurbr
semi,semi
func,func
arrow,arrow
dot,dot
impl,impl
mult,mult
div,div
and,and
inherits,inherits
eq,eq
neq,neq
lt,lt
gt,gt
leq,leq
geq,geq
void,void
if,if
then,then
else,else
while,while
read,read
write,write
return,return
struct,struct
integer,integer
float,float
let,let
public,public
private,private
ADDOP,"plus, minus, or"
APARAMS,"., id, intlit, floatlit, lpar, not, plus, minus"
APARAMSTAIL,comma
ARRAYSIZE,lsqbr
ARRAYSIZE2,"intlit, rsqbr"
ASSIGNOP,equal
EXPR2,"ε, ., eq, neq, lt, gt, leq, geq"
FACTOR,"id, intlit, floatlit, lpar, not, plus, minus"
FACTOR2,"lpar, ., lsqbr"
FPARAMS,"id, ."
FPARAMSTAIL,comma
FUNCBODY,lcurbr
FUNCHEAD,func
IDNEST,dot
IDNEST2,"lpar, ., lsqbr"
IMPLDEF,impl
INDICE,lsqbr
MULTOP,"mult, div, and"
OPTSTRUCTDECL2,"inherits, ."
RELOP,"eq, neq, lt, gt, leq, geq"
REPTAPARAMS1,"., comma"
REPTFPARAMS3,"., lsqbr"
REPTFPARAMS4,"., comma"
REPTFPARAMSTAIL4,"., lsqbr"
REPTFUNCBODY1,"., let, if, while, read, write, return, id, dot"
REPTVARIABLEORFUNCTIONCALL,"., dot"
REPTIDNEST1,"., lsqbr"
REPTIMPLDEF3,"., func"
REPTOPTSTRUCTDECL22,"comma, ."
REPTPROG0,"., struct, impl, func"
REPTSTATBLOCK1,"., if, while, read, write, return, id, dot"
REPTSTRUCTDECL4,"., public, private"
REPTVARDECL4,"., lsqbr"
REPTVARIABLE,"., dot"
RETURNTYPE,"void, integer, float, id"
RIGHTRECARITHEXPR,"., plus, minus, or"
RIGHTRECTERM,"., mult, div, and"
SIGN,"plus, minus"
STATBLOCK,"lcurbr, ., if, while, read, write, return, id, dot"
STATEMENT,"if, while, read, write, return, id, dot"
STRUCTDECL,struct
TYPE,"integer, float, id"
VARDECL,let
VARIABLE,id
VARIABLE2,"lpar, ., lsqbr"
VARIDNEST,dot
VARIDNEST2,"lpar, ., lsqbr"
VISIBILITY,"public, private"
ASSIGNSTAT,id
FUNCDECL,func
FUNCDEF,func
FUNCTIONCALL,dot
STRUCTORIMPLORFUNC,"struct, impl, func"
VARDECLORSTAT,"let, if, while, read, write, return, id, dot"
MEMBERDECL,"func, let"
TERM,"id, intlit, floatlit, lpar, not, plus, minus"
ARITHEXPR,"id, intlit, floatlit, lpar, not, plus, minus"
EXPR,"id, intlit, floatlit, lpar, not, plus, minus"
RELEXPR,"id, intlit, floatlit, lpar, not, plus, minus"
PROG,"., struct, impl, func"
START,"., struct, impl, func"