ADDOP,"$, id, intlit, floatlit, lpar, not, plus, minus"
APARAMS,rpar
APARAMSTAIL,"., comma"
ARITHEXPR,"eq, neq, lt, gt, leq, geq, ., rsqbr, rpar"
ARRAYSIZE,"., lsqbr"
ARRAYSIZE2,.
ASSIGNOP,"id, intlit, floatlit, lpar, not, plus, minus"
ASSIGNSTAT,semi
EXPR,"rpar, ., comma"
EXPR2,.
FACTOR,"., mult, div, and"
FACTOR2,"., dot"
FPARAMS,rpar
FPARAMSTAIL,"., comma"
FUNCBODY,.
FUNCDECL,.
FUNCDEF,"., func"
FUNCHEAD,"lcurbr, semi"
FUNCTIONCALL,semi
IDNEST,"., dot, id"
IDNEST2,.
IMPLDEF,.
INDICE,"., lsqbr"
MEMBERDECL,"., public, private"
MULTOP,"id, intlit, floatlit, lpar, not, plus, minus"
OPTSTRUCTDECL2,lcurbr
PROG,.
RELEXPR,rpar
RELOP,"id, intlit, floatlit, lpar, not, plus, minus"
REPTAPARAMS1,.
REPTFPARAMS3,"., comma"
REPTFPARAMS4,.
REPTFPARAMSTAIL4,.
REPTFUNCBODY1,"., rcurbr"
REPTVARIABLEORFUNCTIONCALL,.
REPTIDNEST1,"., dot"
REPTIMPLDEF3,"., rcurbr"
REPTOPTSTRUCTDECL22,.
REPTPROG0,.
REPTSTATBLOCK1,"rcurbr, ."
REPTSTRUCTDECL4,"rcurbr, ."
REPTVARDECL4,"semi, ."
REPTVARIABLE,.
RETURNTYPE,.
RIGHTRECARITHEXPR,.
RIGHTRECTERM,.
SIGN,"id, intlit, floatlit, lpar, not, plus, minus"
START,
STATBLOCK,"else, semi"
STATEMENT,"., if, while, read, write, return, id, dot"
STRUCTDECL,.
STRUCTORIMPLORFUNC,"., struct, impl, func"
TERM,"., plus, minus, or"
TYPE,"., lsqbr"
VARDECL,.
VARDECLORSTAT,"., let, if, while, read, write, return, id, dot"
VARIABLE,"rpar, equal"
VARIABLE2,.
VARIDNEST,.
VARIDNEST2,.
VISIBILITY,"func, let"